,Target_Column,Num_Layers,Nodes,Stepmax,Learning rate,Avg_Accuracy,,RF4 avg accuracy,RF3 avg accuracy,RF2 avg accuracy
152,53,2,20,1.00E+06,1.00E-05,0.73,,,,
155,53,2,20,1.00E+06,1.00E-04,0.74,,,,
158,53,2,20,1.00E+06,0.001,0.74,,,,
161,53,2,20,1.00E+06,0.01,0.75,,,,
164,53,2,20,1.00E+06,0.1,0.75,,,,
167,53,2,40,1.00E+06,1.00E-05,0.76,,,,
170,53,2,40,1.00E+06,1.00E-04,0.75,,,,
173,53,2,40,1.00E+06,0.001,0.74,,,,
176,53,2,40,1.00E+06,0.01,0.74,,,,
179,53,2,40,1.00E+06,0.1,0.75,,,,
182,53,2,60,1.00E+06,1.00E-05,0.73,,,,
185,53,2,60,1.00E+06,1.00E-04,0.74,,,,
188,53,2,60,1.00E+06,0.001,0.75,,,,
191,53,2,60,1.00E+06,0.01,0.76,,,,
194,53,2,60,1.00E+06,0.1,0.76,,,,
197,53,2,80,1.00E+06,1.00E-05,0.74,,,,
200,53,2,80,1.00E+06,1.00E-04,0.73,,,,
203,53,2,80,1.00E+06,0.001,0.73,,,,
206,53,2,80,1.00E+06,0.01,0.74,,,,
209,53,2,80,1.00E+06,0.1,0.75,,,,
212,53,2,100,1.00E+06,1.00E-05,0.78,,,,
215,53,2,100,1.00E+06,1.00E-04,0.76,,,,
218,53,2,100,1.00E+06,0.001,0.76,,,,
221,53,2,100,1.00E+06,0.01,0.77,,,,
224,53,2,100,1.00E+06,0.1,0.76,,,,
227,53,2,120,1.00E+06,1.00E-05,0.77,,,,
230,53,2,120,1.00E+06,1.00E-04,0.76,,,,
233,53,2,120,1.00E+06,0.001,0.76,,,,
236,53,2,120,1.00E+06,0.01,0.76,,,,
239,53,2,120,1.00E+06,0.1,0.76,,,,
242,53,2,140,1.00E+06,1.00E-05,0.76,,,,
245,53,2,140,1.00E+06,1.00E-04,0.77,,,,
248,53,2,140,1.00E+06,0.001,0.77,,,,
251,53,2,140,1.00E+06,0.01,0.76,,,,
254,53,2,140,1.00E+06,0.1,0.76,,,,
257,53,2,160,1.00E+06,1.00E-05,0.78,,,,
260,53,2,160,1.00E+06,1.00E-04,0.77,,,,
263,53,2,160,1.00E+06,0.001,0.76,,,,
266,53,2,160,1.00E+06,0.01,0.76,,,,
269,53,2,160,1.00E+06,0.1,0.76,,,,
272,53,2,180,1.00E+06,1.00E-05,0.78,,,,
275,53,2,180,1.00E+06,1.00E-04,0.76,,,,
278,53,2,180,1.00E+06,0.001,0.76,,,,
281,53,2,180,1.00E+06,0.01,0.76,,,,
284,53,2,180,1.00E+06,0.1,0.76,,,,
287,53,2,200,1.00E+06,1.00E-05,0.75,,,,
290,53,2,200,1.00E+06,1.00E-04,0.76,,,,
293,53,2,200,1.00E+06,0.001,0.77,,,,
296,53,2,200,1.00E+06,0.01,0.77,,,,
299,53,2,200,1.00E+06,0.1,0.76,,,,
302,53,3,20,1.00E+06,1.00E-05,0.79,,,,
305,53,3,20,1.00E+06,1.00E-04,0.77,,,,
308,53,3,20,1.00E+06,0.001,0.77,,,,
311,53,3,20,1.00E+06,0.01,0.75,,,,
314,53,3,20,1.00E+06,0.1,0.74,,,,
317,53,3,40,1.00E+06,1.00E-05,0.74,,,,
320,53,3,40,1.00E+06,1.00E-04,0.77,,,,
323,53,3,40,1.00E+06,0.001,0.76,,,,
326,53,3,40,1.00E+06,0.01,0.76,,,,
329,53,3,40,1.00E+06,0.1,0.76,,,,
332,53,3,60,1.00E+06,1.00E-05,0.71,,,,
335,53,3,60,1.00E+06,1.00E-04,0.73,,,,
338,53,3,60,1.00E+06,0.001,0.73,,,,
341,53,3,60,1.00E+06,0.01,0.74,,,,
344,53,3,60,1.00E+06,0.1,0.74,,,,
347,53,3,80,1.00E+06,1.00E-05,0.73,,,,
350,53,3,80,1.00E+06,1.00E-04,0.74,,,,
353,53,3,80,1.00E+06,0.001,0.76,,,,
356,53,3,80,1.00E+06,0.01,0.75,,,,
359,53,3,80,1.00E+06,0.1,0.75,,,,
362,53,3,100,1.00E+06,1.00E-05,0.74,,,,
365,53,3,100,1.00E+06,1.00E-04,0.75,,,,
368,53,3,100,1.00E+06,0.001,0.74,,,,
371,53,3,100,1.00E+06,0.01,0.74,,,,
374,53,3,100,1.00E+06,0.1,0.75,,,,
377,53,3,120,1.00E+06,1.00E-05,0.77,,,,
380,53,3,120,1.00E+06,1.00E-04,0.77,,,,
383,53,3,120,1.00E+06,0.001,0.77,,,,
386,53,3,120,1.00E+06,0.01,0.77,,,,
389,53,3,120,1.00E+06,0.1,0.78,,,,
392,53,3,140,1.00E+06,1.00E-05,0.74,,,,
395,53,3,140,1.00E+06,1.00E-04,0.74,,,,
398,53,3,140,1.00E+06,0.001,0.75,,,,
401,53,3,140,1.00E+06,0.01,0.75,,,,
404,53,3,140,1.00E+06,0.1,0.75,,,,
407,53,3,160,1.00E+06,1.00E-05,0.76,,,,
410,53,3,160,1.00E+06,1.00E-04,0.76,,,,
413,53,3,160,1.00E+06,0.001,0.76,,,,
416,53,3,160,1.00E+06,0.01,0.76,,,,
419,53,3,160,1.00E+06,0.1,0.76,,,,
422,53,3,180,1.00E+06,1.00E-05,0.77,,,,
425,53,3,180,1.00E+06,1.00E-04,0.76,,,,
428,53,3,180,1.00E+06,0.001,0.77,,,,
431,53,3,180,1.00E+06,0.01,0.77,,,,
434,53,3,180,1.00E+06,0.1,0.77,,,,
437,53,3,200,1.00E+06,1.00E-05,0.76,,,,
440,53,3,200,1.00E+06,1.00E-04,0.78,,,,
443,53,3,200,1.00E+06,0.001,0.79,,,,
446,53,3,200,1.00E+06,0.01,0.78,,,,
449,53,3,200,1.00E+06,0.1,0.78,,,,
3,54,1,20,1.00E+06,1.00E-05,0.86,,,,
6,54,1,20,1.00E+06,1.00E-04,0.87,,,,
9,54,1,20,1.00E+06,0.001,0.87,,,,
12,54,1,20,1.00E+06,0.01,0.87,,,,
15,54,1,20,1.00E+06,0.1,0.86,,,,
18,54,1,40,1.00E+06,1.00E-05,0.84,,,,
21,54,1,40,1.00E+06,1.00E-04,0.87,,,,
24,54,1,40,1.00E+06,0.001,0.87,,,,
27,54,1,40,1.00E+06,0.01,0.87,,,,
30,54,1,40,1.00E+06,0.1,0.87,,,,
33,54,1,60,1.00E+06,1.00E-05,0.88,,,,
36,54,1,60,1.00E+06,1.00E-04,0.87,,,,
39,54,1,60,1.00E+06,0.001,0.87,,,,
42,54,1,60,1.00E+06,0.01,0.87,,,,
45,54,1,60,1.00E+06,0.1,0.87,,,,
48,54,1,80,1.00E+06,1.00E-05,0.88,,,,
51,54,1,80,1.00E+06,1.00E-04,0.88,,,,
54,54,1,80,1.00E+06,0.001,0.88,,,,
57,54,1,80,1.00E+06,0.01,0.87,,,,
60,54,1,80,1.00E+06,0.1,0.87,,,,
63,54,1,100,1.00E+06,1.00E-05,0.86,,,,
